	ecDNA_0
cell_0	32
cell_1	39
cell_2	16
cell_3	25
cell_4	39
cell_5	12
cell_6	62
cell_7	35
cell_8	46
cell_9	63
cell_10	17
cell_11	77
cell_12	24
cell_13	9
cell_14	7
cell_15	5
cell_16	27
cell_17	21
cell_18	5
cell_19	30
cell_20	61
cell_21	3
cell_22	37
cell_23	11
cell_24	11
cell_25	7
cell_26	73
cell_27	80
cell_28	31
cell_29	37
cell_30	0
cell_31	4
cell_32	13
cell_33	18
cell_34	35
cell_35	32
cell_36	28
cell_37	48
cell_38	49
cell_39	29
cell_40	62
cell_41	42
cell_42	41
cell_43	16
cell_44	16
cell_45	29
cell_46	24
cell_47	19
cell_48	1
cell_49	59
cell_50	4
cell_51	36
cell_52	30
cell_53	26
cell_54	47
cell_55	31
cell_56	7
cell_57	36
cell_58	0
cell_59	20
cell_60	31
cell_61	12
cell_62	14
cell_63	38
cell_64	22
cell_65	36
cell_66	19
cell_67	66
cell_68	24
cell_69	0
cell_70	0
cell_71	9
cell_72	12
cell_73	10
cell_74	64
cell_75	61
cell_76	18
cell_77	0
cell_78	9
cell_79	24
cell_80	88
cell_81	84
cell_82	17
cell_83	15
cell_84	13
cell_85	2
cell_86	51
cell_87	37
cell_88	59
cell_89	62
cell_90	31
cell_91	23
cell_92	11
cell_93	68
cell_94	13
cell_95	9
cell_96	3
cell_97	2
cell_98	30
cell_99	85
cell_100	66
cell_101	25
cell_102	38
cell_103	44
cell_104	32
cell_105	11
cell_106	6
cell_107	27
cell_108	0
cell_109	20
cell_110	66
cell_111	15
cell_112	2
cell_113	4
cell_114	61
cell_115	24
cell_116	23
cell_117	8
cell_118	28
cell_119	18
cell_120	10
cell_121	15
cell_122	15
cell_123	1
cell_124	25
cell_125	30
cell_126	12
cell_127	48
cell_128	49
cell_129	20
cell_130	42
cell_131	71
cell_132	12
cell_133	60
cell_134	42
cell_135	58
cell_136	19
cell_137	75
cell_138	28
cell_139	26
cell_140	21
cell_141	19
cell_142	59
cell_143	92
cell_144	51
cell_145	18
cell_146	0
cell_147	0
cell_148	18
cell_149	25
cell_150	41
cell_151	20
cell_152	58
cell_153	29
cell_154	22
cell_155	18
cell_156	67
cell_157	1
cell_158	50
cell_159	29
cell_160	45
cell_161	14
cell_162	20
cell_163	3
cell_164	5
cell_165	0
cell_166	11
cell_167	38
cell_168	18
cell_169	34
cell_170	29
cell_171	2
cell_172	17
cell_173	25
cell_174	58
cell_175	0
cell_176	19
cell_177	38
cell_178	61
cell_179	84
cell_180	15
cell_181	0
cell_182	48
cell_183	43
cell_184	19
cell_185	19
cell_186	0
cell_187	59
cell_188	11
cell_189	7
cell_190	7
cell_191	2
cell_192	4
cell_193	50
cell_194	38
cell_195	36
cell_196	81
cell_197	46
cell_198	20
cell_199	55
cell_200	6
cell_201	55
cell_202	12
cell_203	50
cell_204	6
cell_205	17
cell_206	42
cell_207	42
cell_208	10
cell_209	36
cell_210	15
cell_211	20
cell_212	31
cell_213	3
cell_214	9
cell_215	5
cell_216	35
cell_217	37
cell_218	1
cell_219	7
cell_220	11
cell_221	10
cell_222	5
cell_223	36
cell_224	4
cell_225	20
cell_226	20
cell_227	22
cell_228	6
cell_229	11
cell_230	63
cell_231	12
cell_232	0
cell_233	74
cell_234	5
cell_235	0
cell_236	0
cell_237	34
cell_238	4
cell_239	18
cell_240	14
cell_241	25
cell_242	12
cell_243	14
cell_244	8
cell_245	63
cell_246	8
cell_247	29
cell_248	25
cell_249	4
cell_250	25
cell_251	12
cell_252	18
cell_253	34
cell_254	4
cell_255	0
cell_256	55
cell_257	93
cell_258	38
cell_259	8
cell_260	3
cell_261	31
cell_262	31
cell_263	20
cell_264	34
cell_265	30
cell_266	22
cell_267	2
cell_268	10
cell_269	12
cell_270	19
cell_271	8
cell_272	15
cell_273	15
cell_274	11
cell_275	8
cell_276	31
cell_277	24
cell_278	9
cell_279	6
cell_280	34
cell_281	12
cell_282	26
cell_283	15
cell_284	0
cell_285	41
cell_286	47
cell_287	7
cell_288	19
cell_289	13
cell_290	27
cell_291	18
cell_292	0
cell_293	43
cell_294	68
cell_295	14
cell_296	41
cell_297	19
cell_298	15
cell_299	33
cell_300	31
cell_301	26
cell_302	3
cell_303	39
cell_304	34
cell_305	26
cell_306	28
cell_307	29
cell_308	32
cell_309	13
cell_310	30
cell_311	38
cell_312	10
cell_313	13
cell_314	8
cell_315	47
cell_316	18
cell_317	25
cell_318	26
cell_319	37
cell_320	16
cell_321	31
cell_322	23
cell_323	21
cell_324	7
cell_325	5
cell_326	7
cell_327	21
cell_328	11
cell_329	16
cell_330	2
cell_331	25
cell_332	64
cell_333	1
cell_334	68
cell_335	7
cell_336	24
cell_337	30
cell_338	9
cell_339	7
cell_340	24
cell_341	61
cell_342	12
cell_343	27
cell_344	30
cell_345	34
cell_346	35
cell_347	15
cell_348	4
cell_349	23
cell_350	4
cell_351	59
cell_352	40
cell_353	19
cell_354	32
cell_355	11
cell_356	26
cell_357	17
cell_358	19
cell_359	36
cell_360	44
cell_361	12
cell_362	6
cell_363	14
cell_364	29
cell_365	28
cell_366	17
cell_367	37
cell_368	26
cell_369	18
cell_370	13
cell_371	4
cell_372	57
cell_373	5
cell_374	26
cell_375	12
cell_376	18
cell_377	87
cell_378	36
cell_379	27
cell_380	12
cell_381	14
cell_382	23
cell_383	31
cell_384	12
cell_385	21
cell_386	59
cell_387	0
cell_388	58
cell_389	30
cell_390	4
cell_391	57
cell_392	12
cell_393	28
cell_394	53
cell_395	35
cell_396	2
cell_397	24
cell_398	26
cell_399	0
cell_400	36
cell_401	11
cell_402	18
cell_403	13
cell_404	13
cell_405	50
cell_406	19
cell_407	21
cell_408	74
cell_409	23
cell_410	3
cell_411	3
cell_412	62
cell_413	33
cell_414	4
cell_415	20
cell_416	42
cell_417	33
cell_418	27
cell_419	3
cell_420	31
cell_421	19
cell_422	21
cell_423	46
cell_424	21
cell_425	0
cell_426	17
cell_427	21
cell_428	41
cell_429	37
cell_430	33
cell_431	28
cell_432	30
cell_433	15
cell_434	13
cell_435	66
cell_436	26
cell_437	28
cell_438	51
cell_439	4
cell_440	68
cell_441	18
cell_442	7
cell_443	36
cell_444	44
cell_445	33
cell_446	31
cell_447	18
cell_448	5
cell_449	42
cell_450	41
cell_451	64
cell_452	39
cell_453	0
cell_454	3
cell_455	17
cell_456	0
cell_457	60
cell_458	9
cell_459	66
cell_460	27
cell_461	12
cell_462	55
cell_463	11
cell_464	25
cell_465	36
cell_466	20
cell_467	37
cell_468	2
cell_469	31
cell_470	6
cell_471	62
cell_472	33
cell_473	57
cell_474	12
cell_475	30
cell_476	12
cell_477	40
cell_478	77
cell_479	28
cell_480	32
cell_481	3
cell_482	1
cell_483	18
cell_484	30
cell_485	11
cell_486	9
cell_487	37
cell_488	64
cell_489	37
cell_490	53
cell_491	69
cell_492	20
cell_493	70
cell_494	9
cell_495	18
cell_496	76
cell_497	41
cell_498	65
cell_499	21
cell_500	14
cell_501	5
cell_502	33
cell_503	48
cell_504	28
cell_505	17
cell_506	31
cell_507	19
cell_508	32
cell_509	41
cell_510	36
cell_511	21
cell_512	29
cell_513	17
cell_514	1
cell_515	3
cell_516	68
cell_517	39
cell_518	10
cell_519	66
cell_520	36
cell_521	40
cell_522	11
cell_523	0
cell_524	25
cell_525	0
cell_526	18
cell_527	30
cell_528	40
cell_529	82
cell_530	0
cell_531	0
cell_532	12
cell_533	65
cell_534	30
cell_535	40
cell_536	40
cell_537	49
cell_538	22
cell_539	26
cell_540	32
cell_541	62
cell_542	14
cell_543	68
cell_544	23
cell_545	4
cell_546	38
cell_547	45
cell_548	17
cell_549	41
cell_550	53
cell_551	14
cell_552	25
cell_553	16
cell_554	30
cell_555	11
cell_556	14
cell_557	14
cell_558	77
cell_559	12
cell_560	14
cell_561	38
cell_562	33
cell_563	9
cell_564	14
cell_565	2
cell_566	13
cell_567	37
cell_568	60
cell_569	53
cell_570	39
cell_571	47
cell_572	17
cell_573	8
cell_574	23
cell_575	43
cell_576	7
cell_577	38
cell_578	19
cell_579	3
cell_580	40
cell_581	24
cell_582	11
cell_583	41
cell_584	57
cell_585	17
cell_586	11
cell_587	97
cell_588	20
cell_589	14
cell_590	34
cell_591	39
cell_592	41
cell_593	16
cell_594	3
cell_595	15
cell_596	38
cell_597	8
cell_598	27
cell_599	25
cell_600	9
cell_601	62
cell_602	35
cell_603	16
cell_604	30
cell_605	0
cell_606	2
cell_607	32
cell_608	6
cell_609	3
cell_610	0
cell_611	13
cell_612	65
cell_613	38
cell_614	0
cell_615	29
cell_616	31
cell_617	25
cell_618	67
cell_619	38
cell_620	15
cell_621	1
cell_622	27
cell_623	60
cell_624	25
cell_625	14
cell_626	8
cell_627	39
cell_628	54
cell_629	28
cell_630	18
cell_631	17
cell_632	0
cell_633	2
cell_634	11
cell_635	19
cell_636	16
cell_637	25
cell_638	20
cell_639	16
cell_640	3
cell_641	52
cell_642	18
cell_643	71
cell_644	35
cell_645	22
cell_646	28
cell_647	12
cell_648	31
cell_649	29
cell_650	13
